hash,satcomp-mallob,satcomp-prs-distributed,satcomp-solimul-cloud,aresult
bdc85226a8d910a8b7d6a8730c7a4572,13.281,39.172,47.393,sat
be5c82b97513a31e0b3bcc1c231018ad,38.547,17.582,27.559,unsat
c0069efa0c924e416878d9426f1ef92e,2.478,5.796,2.452,sat
c115ebeec47bb82fa7f9850a632ec94a,1.561,2.716,2000.0,sat
c1324a6876269ee93890e266fe214557,1.303,14.544,2.434,sat
c1b5c3d1016de7baeb0ddb3a2ab2d891,17.37,17.488,2.976,sat
c32f194ad850c944142c74514dfb3c5f,1.186,2000.0,2.794,unsat
c40838cb3ed9babe51dc41185e70a3dd,52.111,32.268,50.3,unsat
c7bf3517f47d583ae567de3db3708969,430.374,2000.0,2000.0,unsat
c9af5b23c87350f5d817acc9ca7b69bb,1.25,153.454,2.568,unsat
c9f7ca549a6773bea4628e2c66f597c6,1.607,2.605,2000.0,sat
caead0e04b6de4365822b25dfd55967f,29.231,50.77,168.291,sat
cbd0933002d6c4ea99ceb47bb0c3f4c9,3.078,14.375,3.346,sat
cd118ff851f95661b2a3adfc3e393c74,13.673,3.29,9.753,sat
cd58fa8eba4046fd0a86642e1fe26cb9,2000.0,2000.0,2000.0,unknown
cd86fbfd8b7e0d66ec5fe8fe85c014d3,2000.0,575.185,2000.0,unsat
cdd131110acc861a5a01fae6c4936c91,6.006,94.139,68.401,sat
ce49f590c98885f7ac95567f2b1e7dd5,2.131,3.694,3.67,sat
cea96962ebd736646af54d950943d909,1.239,25.872,2.432,sat
cfc53adcc8ed18ca161bb6f8bc02b237,38.841,16.914,28.553,unsat
d0364ea3e1680c6da7e982e6b0264af6,1.292,1.853,3.367,sat
d0fe6bf914469ca51675bac9078a2c0b,3.7,5.646,4.343,sat
d17aa530bbd09452b0f32daf4ab9c8f0,2000.0,2000.0,2.548,unsat
d1a62a8688c6c4fabd0dec3770ce40dd,1.496,2.237,2.751,sat
d1f4348ad66cae01386777daae51c024,650.45,2000.0,2000.0,unsat
d3529338d35aa27e8024932d3b5f64b5,7.018,17.964,25.609,sat
d3daba681653ea969bedf0c4a2fdb947,4.575,23.987,7.781,unsat
d46c3fc9e953d4f84e8a18e52e29e7b7,2000.0,405.753,2000.0,sat
d5efaaee0197822c2676e45bac5068b2,8.288,16.424,35.464,sat
d60f56735dc8e89d7d91a01f4340df0c,302.055,150.011,124.071,unsat
d6402b482a5dc102a5b09360689e2be8,7.483,19.103,12.555,unsat
d66ab8bce1b8979dbd26b3c220e817be,603.561,2000.0,2000.0,sat
d7f381cd99ca40ba3324c8cc03a54269,8.488,1.148,10.619,unsat
d84a89fb1bc1ff37dc4737867257b290,1.383,66.395,2.434,sat
d89718e39ff99638c2882b47988120cd,1.697,2.9,2000.0,sat
d89f0a7a08f9b60579b26b01e2196394,2000.0,2000.0,2000.0,unsat
d8f131a86243ef138af39abf52a479e5,14.814,17.448,37.354,sat
d8fa4265b93d0931ba6484e3cc0d7ab1,25.098,42.943,41.458,unsat
da43a3ef0ef5d34143e765d480dedc7a,7.795,31.928,14.364,unsat
db4a0d4ba26c46d66ad6cdcb0645a4d9,6.601,34.842,8.44,unsat
dbe18c99e95ac42816b99b96d36a8732,202.904,494.622,393.711,unsat
dd169198070f9aa35015de65e8209a05,1.779,2000.0,3.779,unsat
